PVPenetrationPercent,IrradianceCondition,ControlStrategy,MeanAbsVoltageDeviation,MaxAbsVoltageDeviation,MinVoltage,MaxVoltage,VoltageViolationCount,TotalActiveLoss_kWh,MeanActiveLoss_kW,PVCurtailment_kWh,ResponseSettlingSteps,ResponseSettlingHours
20,clear_sky,none,0.0375927278291794,0.0905749016228277,0.909425098377172,1,274,2516.48272792379,104.853446996825,0,24,24
20,clear_sky,voltvar,0.0324954709125508,0.0710292371631849,0.928970762836815,1,131,2021.16025397142,84.2150105821427,0,9,9
20,clear_sky,voltwatt,0.0375927278291794,0.0905749016228277,0.909425098377172,1,274,2516.48272792379,104.853446996825,0,24,24
20,clear_sky,hybrid,0.0324954709125508,0.0710292371631849,0.928970762836815,1,131,2021.16025397142,84.2150105821427,0,9,9
20,clear_sky,hybrid_pso,0.0303227569179593,0.0702339401025831,0.929766059897417,1,99,1865.96596994732,77.7485820811382,0,7,7
20,partial_cloud,none,0.0380921305486815,0.0905749016228277,0.909425098377172,1,300,2565.08790457811,106.878662690755,0,24,24
20,partial_cloud,voltvar,0.0327291960497672,0.0710292371631849,0.928970762836815,1,138,2045.27659478898,85.2198581162074,0,9,9
20,partial_cloud,voltwatt,0.0380921305486815,0.0905749016228277,0.909425098377172,1,300,2565.08790457811,106.878662690755,0,24,24
20,partial_cloud,hybrid,0.0327291960497672,0.0710292371631849,0.928970762836815,1,138,2045.27659478898,85.2198581162074,0,9,9
20,partial_cloud,hybrid_pso,0.0304753432231233,0.0702339401025831,0.929766059897417,1,99,1886.81773064582,78.6174054435757,0,7,7
20,low_irradiance,none,0.039354625268161,0.0905749016228277,0.909425098377172,1,324,2706.3069737564,112.762790573183,0,24,24
20,low_irradiance,voltvar,0.0334785051821368,0.0710292371631849,0.928970762836815,1,188,2143.04007248848,89.2933363536868,0,17,17
20,low_irradiance,voltwatt,0.039354625268161,0.0905749016228277,0.909425098377172,1,324,2706.3069737564,112.762790573183,0,24,24
20,low_irradiance,hybrid,0.0334785051821368,0.0710292371631849,0.928970762836815,1,188,2143.04007248848,89.2933363536868,0,17,17
20,low_irradiance,hybrid_pso,0.0312649421574409,0.0702339401025831,0.929766059897417,1,117,1992.36027748355,83.0150115618146,0,8,8
50,clear_sky,none,0.0329629978301261,0.0905749016228277,0.909425098377172,1,199,2198.27219892711,91.5946749552964,0,9,9
