ScenarioGroup,PVPenetrationPercent,IrradianceCondition,ControlStrategy,VoltVARActivePercent,VoltWattActivePercent,BothActivePercent,TotalReactiveSupport_kVArh,TotalCurtailedPV_kWh
normal,20,clear_sky,hybrid,91.6666666666667,0,0,9563.3047121825,0
normal,20,clear_sky,hybrid_pso,100,0,0,16044.6551714981,0
normal,20,low_irradiance,hybrid,95.1388888888889,0,0,11039.1238314164,0
normal,20,low_irradiance,hybrid_pso,100,0,0,17900.1541723899,0
normal,20,partial_cloud,hybrid,93.75,0,0,10062.2411967982,0
normal,20,partial_cloud,hybrid_pso,100,0,0,16821.2275597553,0
normal,50,clear_sky,hybrid,81.25,0,0,15112.2966182479,0
normal,50,clear_sky,hybrid_pso,100,0,0,32612.6581056054,0
normal,50,low_irradiance,hybrid,89.5833333333333,0,0,18726.3864225212,0
normal,50,low_irradiance,hybrid_pso,100,0,0,38280.4387544081,0
normal,50,partial_cloud,hybrid,85.4166666666667,0,0,16021.1554890252,0
normal,50,partial_cloud,hybrid_pso,100,0,0,34361.6122652602,0
normal,80,clear_sky,hybrid,66.6666666666667,0,0,17100.7635094325,0
normal,80,clear_sky,hybrid_pso,94.4444444444444,2.08333333333333,0,38530.2863991469,68.3165657312203
normal,80,low_irradiance,hybrid,86.1111111111111,0,0,21540.1259400407,0
normal,80,low_irradiance,hybrid_pso,100,0,0,47381.1711117614,0
normal,80,partial_cloud,hybrid,73.6111111111111,0,0,17639.2228892368,0
normal,80,partial_cloud,hybrid_pso,97.9166666666667,0,0,40760.0758364369,0
stress,80,stress_clear_sky,hybrid,65.9722222222222,10.4166666666667,10.4166666666667,9591.99037340234,307.483042248908
stress,80,stress_clear_sky,hybrid_pso,89.5833333333333,18.0555555555556,16.6666666666667,23212.9482989711,2399.90281085272
stress,80,stress_clear_sky,voltwatt,0,100,0,0,924.028022699271
stress,100,stress_clear_sky,hybrid,64.5833333333333,10.4166666666667,10.4166666666667,12170.3459872447,1135.78480017046
stress,100,stress_clear_sky,hybrid_pso,86.1111111111111,24.3055555555556,18.0555555555556,26441.508584751,4022.1997680673
stress,100,stress_clear_sky,voltwatt,0,100,0,0,2747.2945645758
stress,120,stress_clear_sky,hybrid,69.4444444444444,13.8888888888889,13.8888888888889,15060.6306818447,2075.01583783244
stress,120,stress_clear_sky,hybrid_pso,88.1944444444444,27.0833333333333,21.5277777777778,30076.2826168569,6134.01597022229
stress,120,stress_clear_sky,voltwatt,0,100,0,0,5181.99780164304
stress,150,stress_clear_sky,hybrid,73.6111111111111,21.5277777777778,21.5277777777778,19864.4599634039,3686.50401247836
stress,150,stress_clear_sky,hybrid_pso,68.0555555555556,9.72222222222222,4.16666666666667,37534.3116212396,9099.65620040554
stress,150,stress_clear_sky,voltwatt,0,100,0,0,9650.0712787925
stress,180,stress_clear_sky,hybrid,75,21.5277777777778,21.5277777777778,24778.2692325678,5471.97278863411
stress,180,stress_clear_sky,hybrid_pso,61.1111111111111,4.16666666666667,0,43220.1130705131,11859.4051503008
stress,180,stress_clear_sky,voltwatt,0,100,0,0,14852.3849253894
stress,200,stress_clear_sky,hybrid,75,21.5277777777778,21.5277777777778,28070.4732523268,6629.92082862076
stress,200,stress_clear_sky,hybrid_pso,75,11.1111111111111,4.16666666666667,47294.3065452925,14030.1298995193
stress,200,stress_clear_sky,voltwatt,0,100,0,0,18578.8208766349
