ControlStrategy,PVPenetrationPercent,MinVoltage,MaxVoltage,VoltageViolationCount,PVCurtailment_kWh,TotalActiveLoss_kWh,Converged,Feasible
none,0,0.951085657374924,1,0,0,1283.32331761271,1,1
none,20,0.951085657374924,1,0,0,1073.90574495651,1,1
none,40,0.951085657374924,1.00401647485901,0,0,1044.92974790926,1,1
none,60,0.951085657374924,1.0245209552329,0,0,1178.3896942168,1,1
none,80,0.951085657374924,1.04413344288756,0,0,1459.49671243474,1,1
none,100,0.951085657374924,1.06294877981008,15,0,1875.909037362,1,0
none,120,0.951085657374924,1.08104588848879,25,0,2417.18742739218,1,0
none,140,0.951085657374924,1.09849126767434,41,0,3074.39928538799,1,0
none,160,0.951085657374924,1.11534156854145,63,0,3839.82463619555,1,0
none,180,0.951085657374924,1.13164551416215,92,0,4706.73304581594,1,0
none,200,0.951085657374924,1.14744536307437,123,0,5669.21149019167,1,0
none,220,0.951085657374924,1.16277804548297,130,0,6722.02976703284,1,0
none,250,0.951085657374924,1.18497118630548,141,0,8460.59943838579,1,0
voltvar,0,0.951085657374924,1,0,0,1283.32331761271,1,1
voltvar,20,0.957312791925044,1,0,0,904.028971932669,1,1
voltvar,40,0.960906434814762,1.00401647485901,0,0,842.788913305241,1,1
voltvar,60,0.963079968230809,1.02339283361294,0,0,972.714908034519,1,1
voltvar,80,0.964680102054769,1.03506415641269,0,0,1330.86624548969,1,1
voltvar,100,0.965919799627821,1.04391424114975,0,0,1907.83077119751,1,1
voltvar,120,0.966907810951741,1.05066971981517,5,0,2719.96189352755,1,0
voltvar,140,0.967695746651456,1.0559667214793,15,0,3776.95070251912,1,0
voltvar,160,0.968325175052624,1.06016960458843,15,0,5071.36924286286,1,0
voltvar,180,0.968837183094872,1.0666109856818,20,0,6505.6862536493,1,0
voltvar,200,0.969277574126728,1.07302529672666,22,0,8115.57900157999,1,0
voltvar,220,0.969660688067475,1.08032894355616,25,0,9840.65504165762,1,0
voltvar,250,0.970150661445697,1.09015052783637,30,0,12760.353842031,1,0
voltwatt,0,0.951085657374924,1,0,0,1283.32331761271,1,1
voltwatt,20,0.951085657374924,1,0,0,1073.90574495651,1,1
voltwatt,40,0.951085657374924,1.00401647485901,0,0,1044.92974790926,1,1
voltwatt,60,0.951085657374924,1.0245209552329,0,0,1178.3896942168,1,1
voltwatt,80,0.951085657374924,1.03747757417137,0,925.610071523738,1366.28751915662,1,1
voltwatt,100,0.951085657374924,1.04458220879956,0,2747.2945645758,1546.24801376441,1,1
voltwatt,120,0.951085657374924,1.04997846265735,0,5183.93176527186,1715.1613564124,1,1
voltwatt,140,0.951085657374924,1.05410998787395,15,8070.6310622083,1874.27436004562,1,0
voltwatt,160,0.951085657374924,1.05746385770381,15,11342.1107886627,2017.84855134639,1,0
voltwatt,180,0.951085657374924,1.06024437778925,17,14853.7214599952,2151.06412526498,1,0
voltwatt,200,0.951085657374924,1.06258504469927,26,18578.8208766349,2274.62839293775,1,0
voltwatt,220,0.951085657374924,1.06458119936375,26,22425.6089245466,2393.75762413018,1,0
voltwatt,250,0.951085657374924,1.06707603125547,28,28363.4274513797,2567.67215094778,1,0
hybrid,0,0.951085657374924,1,0,0,1283.32331761271,1,1
hybrid,20,0.957312791925044,1,0,0,904.028971932669,1,1
hybrid,40,0.960906434814762,1.00401647485901,0,0,842.788913305241,1,1
hybrid,60,0.963079968230809,1.02339283361294,0,0,972.714908034519,1,1
hybrid,80,0.964680102054769,1.0329529614465,0,307.483042248908,1295.70679600329,1,1
hybrid,100,0.965919799627821,1.03690534660208,0,1135.78480017046,1740.12448144172,1,1
hybrid,120,0.966907810951741,1.03925932689293,0,2075.01583783244,2340.16705611023,1,1
hybrid,140,0.967695746651456,1.04086410379453,0,3109.58620836423,3097.47225493422,1,1
hybrid,160,0.968325175052624,1.04197807280589,0,4288.12887250684,3988.35683674332,1,1
hybrid,180,0.968837183094872,1.04278624965741,0,5471.97278863412,5027.87098050875,1,1
hybrid,200,0.969277574126728,1.04341903556316,0,6629.92082862075,6217.66909895833,1,1
hybrid,220,0.969660688067475,1.04294675894424,0,7845.11420386009,7560.99263919739,1,1
hybrid,250,0.970150661445697,1.03670128843512,0,10519.053620202,10218.2826046269,1,1
hybrid_pso,0,0.951085657374924,1,0,0,1283.32331761271,1,1
hybrid_pso,20,0.962958419634857,1,0,0,754.427024512204,1,1
hybrid_pso,40,0.969926047850236,1.00439338502091,0,0,772.168949674625,1,1
hybrid_pso,60,0.973385419944373,1.01498356531087,0,886.073983764364,944.218107625686,1,1
hybrid_pso,80,0.97565271127922,1.01758619378815,0,2399.90281085272,1224.8862930428,1,1
hybrid_pso,100,0.977341697080632,1.01895154676164,0,4022.1997680673,1621.07698984901,1,1
hybrid_pso,120,0.978655164427312,1.01687979675829,0,6133.95766951886,2140.89958764233,1,1
hybrid_pso,140,0.9797094669127,1.01754705133764,0,7574.24494636256,3051.27484785376,1,1
hybrid_pso,160,0.980576199052156,1.0150277097762,0,10244.1586141021,3967.77560921664,1,1
hybrid_pso,180,0.981302563919546,1.01206899950142,0,11859.4178979166,4978.63817423795,1,1
hybrid_pso,200,0.981920810592918,1.01409599867835,0,14030.1295934758,6182.08860110814,1,1
hybrid_pso,220,0.982454025697367,1.03432147667028,0,14745.1775103995,6428.81720225709,1,1
hybrid_pso,250,0.98125841440007,1.04012683572026,0,21777.5793749803,6655.78252479234,1,1
