PVPenetrationPercent,IrradianceCondition,ControlStrategy,Time_h,LoadMultiplier,Irradiance,MinVoltage,MaxVoltage,MeanAbsVoltageDeviation,ActiveLoss_kW,VoltageViolationCount,PVCurtailment_kW,ReactivePower_kVAr,OuterIterations
20,clear_sky,none,0,0.6,0,0.944298502867788,1,0.0317437262537251,71.3034479686274,6,0,0,1
20,clear_sky,none,1,0.6,0,0.944298502867788,1,0.0317437262537251,71.3034479686274,6,0,0,1
20,clear_sky,none,2,0.6,0,0.944298502867788,1,0.0317437262537251,71.3034479686274,6,0,0,1
20,clear_sky,none,3,0.6,0,0.944298502867788,1,0.0317437262537251,71.3034479686274,6,0,0,1
20,clear_sky,none,4,0.6,0,0.944298502867788,1,0.0317437262537251,71.3034479686274,6,0,0,1
20,clear_sky,none,5,0.610464194115905,0,0.943276652061827,1,0.0323238068079629,73.9281269288822,6,0,0,1
20,clear_sky,none,6,0.67568081763371,0,0.936864485298945,1,0.0359618899882495,91.466227903963,13,0,0,1
20,clear_sky,none,7,0.744126393163558,0.161266778794474,0.93395471084547,1,0.0380046813528884,102.836677261275,15,0,0,1
20,clear_sky,none,8,0.790210924609343,0.392292048948375,0.934930801668,1,0.0380134174206906,104.272535886849,15,0,0,1
20,clear_sky,none,9,0.801515493969863,0.626332219312064,0.939398955646042,1,0.0360414190237409,95.6895181611412,14,0,0,1
20,clear_sky,none,10,0.793604441167075,0.823505213149891,0.944799620310983,1,0.0334259912025369,84.4978103807885,9,0,0,1
20,clear_sky,none,11,0.787101899349258,0.954276217448621,0.94840523059155,1,0.0316370568178891,77.4671094634897,4,0,0,1
20,clear_sky,none,12,0.786286066835735,1,0.94951936255565,1,0.0310949376871201,75.5100743553045,2,0,0,1
20,clear_sky,none,13,0.788425387827532,0.954276217448621,0.948277830050325,1,0.0317102038429338,77.8019863144239,5,0,0,1
20,clear_sky,none,14,0.794369066373686,0.823505213149891,0.944725531688987,1,0.0334684840207094,84.7023101617824,9,0,0,1
20,clear_sky,none,15,0.809627940215971,0.626332219312064,0.938599732516628,1,0.0364962520194387,98.0485610391632,14,0,0,1
20,clear_sky,none,16,0.840403231337678,0.392292048948375,0.929925324930903,1,0.0408559752705038,120.203910605355,17,0,0,1
20,clear_sky,none,17,0.884764896719951,0.161266778794475,0.919782163561737,1,0.0460369420213612,150.559942512844,17,0,0,1
20,clear_sky,none,18,0.927103874702081,3.30228574503549e-22,0.911395892047719,1,0.0503779103732077,179.182674633709,18,0,0,1
20,clear_sky,none,19,0.946052196170588,0,0.909425098377172,1,0.0514911043069735,187.163288546381,19,0,0,1
20,clear_sky,none,20,0.924042669036405,0,0.911713575335099,1,0.0501984363327555,177.912175612085,18,0,0,1
20,clear_sky,none,21,0.860583782023169,0,0.918255480891273,1,0.0465006452045954,152.73546855333,17,0,0,1
20,clear_sky,none,22,0.779966851082885,0,0.926449456513576,1,0.0418638041128581,123.863739638504,17,0,0,1
20,clear_sky,none,23,0.711974371775082,0,0.933262828253068,1,0.0380038788252637,102.123350121383,15,0,0,1
20,clear_sky,voltvar,0,0.6,0,0.955197075088696,1,0.0274792226468855,58.4543926958085,0,0,330.075865832809,20
20,clear_sky,voltvar,1,0.6,0,0.955197075088696,1,0.0274792226468855,58.4543926958085,0,0,330.075865832809,20
20,clear_sky,voltvar,2,0.6,0,0.955197075088696,1,0.0274792226468855,58.4543926958085,0,0,330.075865832809,20
20,clear_sky,voltvar,3,0.6,0,0.955197075088696,1,0.0274792226468855,58.4543926958085,0,0,330.075865832809,20
20,clear_sky,voltvar,4,0.6,0,0.955197075088696,1,0.0274792226468855,58.4543926958085,0,0,330.075865832809,20
20,clear_sky,voltvar,5,0.610464194115905,0,0.954508905157154,1,0.0279230351620992,60.4555576338004,0,0,340.748776305628,20
20,clear_sky,voltvar,6,0.67568081763371,0,0.950202668000724,1,0.0307003177725441,73.7667837528226,0,0,407.545444254052,20
20,clear_sky,voltvar,7,0.744126393163558,0.161266778794474,0.948174096499567,1,0.0323149634584584,81.4624439500772,7,0,442.749085710005,21
20,clear_sky,voltvar,8,0.790210924609343,0.392292048948375,0.948302245637479,1,0.0325828233814846,81.9876905831418,9,0,423.262120941843,21
20,clear_sky,voltvar,9,0.801515493969863,0.626332219312064,0.950296960061035,1,0.0315488850261712,76.2804552062654,0,0,348.938825550919,21
20,clear_sky,voltvar,10,0.793604441167075,0.823505213149891,0.952766950769215,1,0.0301124757929855,69.7501843968716,0,0,256.266318378765,20
20,clear_sky,voltvar,11,0.787101899349258,0.954276217448621,0.954016866950389,1,0.0292816854179067,66.721831487414,0,0,181.856442021311,19
20,clear_sky,voltvar,12,0.786286066835735,1,0.954218803032567,1,0.0291382615049553,66.4678326253599,0,0,150.883003025957,19
20,clear_sky,voltvar,13,0.788425387827532,0.954276217448621,0.95391924794603,1,0.0293447585614972,66.9938072640107,0,0,182.618963794217,19
20,clear_sky,voltvar,14,0.794369066373686,0.823505213149891,0.952710605828978,1,0.0301475302585619,69.9085415071778,0,0,256.830323473578,20
20,clear_sky,voltvar,15,0.809627940215971,0.626332219312064,0.949725992904961,1,0.0319077055670123,78.0364171052856,3,0,356.719549655498,21
20,clear_sky,voltvar,16,0.840403231337678,0.392292048948375,0.94486084657115,1,0.0347612517937445,93.6911413496935,12,0,476.838324875944,21
20,clear_sky,voltvar,17,0.884764896719951,0.161266778794475,0.938441110289756,1,0.0384470404328878,116.626547520816,15,0,597.191280688913,27
20,clear_sky,voltvar,18,0.927103874702081,3.30228574503549e-22,0.930840579286828,1,0.0423917783906455,140.65500603308,17,0,636.173053547199,27
