ScenarioGroup,PVPenetrationPercent,IrradianceCondition,ControlStrategy,TimeIndex,Time_h,Bus,LocalVoltage_pu,Pavailable_kW,Poutput_kW,Pcurtailed_kW,Qoutput_kVAr,Qlimit_kVAr,VoltVARActive,VoltWattActive,BothActive
normal,20,clear_sky,hybrid,1,0,6,0.973736865089983,0,0,0,21.3543682303588,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,1,0,14,0.956453109978443,0,0,0,80.0002182601283,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,1,0,18,0.955197075088696,0,0,0,84.367906476027,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,1,0,25,0.982637939517418,0,0,0,0,136.216666666667,0,0,0
normal,20,clear_sky,hybrid,1,0,30,0.959798488739954,0,0,0,68.4882087860004,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,1,0,33,0.957634959500276,0,0,0,75.8651640802942,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,2,1,6,0.973736865089983,0,0,0,21.3543682303588,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,2,1,14,0.956453109978443,0,0,0,80.0002182601283,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,2,1,18,0.955197075088696,0,0,0,84.367906476027,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,2,1,25,0.982637939517418,0,0,0,0,136.216666666667,0,0,0
normal,20,clear_sky,hybrid,2,1,30,0.959798488739954,0,0,0,68.4882087860004,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,2,1,33,0.957634959500276,0,0,0,75.8651640802942,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,3,2,6,0.973736865089983,0,0,0,21.3543682303588,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,3,2,14,0.956453109978443,0,0,0,80.0002182601283,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,3,2,18,0.955197075088696,0,0,0,84.367906476027,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,3,2,25,0.982637939517418,0,0,0,0,136.216666666667,0,0,0
normal,20,clear_sky,hybrid,3,2,30,0.959798488739954,0,0,0,68.4882087860004,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,3,2,33,0.957634959500276,0,0,0,75.8651640802942,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,4,3,6,0.973736865089983,0,0,0,21.3543682303588,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,4,3,14,0.956453109978443,0,0,0,80.0002182601283,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,4,3,18,0.955197075088696,0,0,0,84.367906476027,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,4,3,25,0.982637939517418,0,0,0,0,136.216666666667,0,0,0
normal,20,clear_sky,hybrid,4,3,30,0.959798488739954,0,0,0,68.4882087860004,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,4,3,33,0.957634959500276,0,0,0,75.8651640802942,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,5,4,6,0.973736865089983,0,0,0,21.3543682303588,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,5,4,14,0.956453109978443,0,0,0,80.0002182601283,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,5,4,18,0.955197075088696,0,0,0,84.367906476027,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,5,4,25,0.982637939517418,0,0,0,0,136.216666666667,0,0,0
normal,20,clear_sky,hybrid,5,4,30,0.959798488739954,0,0,0,68.4882087860004,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,5,4,33,0.957634959500276,0,0,0,75.8651640802942,136.216666666667,1,0,0
normal,20,clear_sky,hybrid,6,5,6,0.973305538184831,0,0,0,22.8155229696568,136.216666666667,1,0,0
