Seed,Iteration,BestObjective
1,0,16.4132504316153
1,1,13.4253575441243
1,2,11.4850171791751
1,3,11.426298180271
1,4,11.426298180271
1,5,11.3791982641285
1,6,11.0138760715936
1,7,11.0138760715936
1,8,10.7762377207219
2,0,12.8439617208795
2,1,12.8439617208795
2,2,9.37036261468615
2,3,8.08854400350079
2,4,8.08854400350079
2,5,8.05934260113422
2,6,8.05860552597728
2,7,8.0455183418158
2,8,8.04106556709957
3,0,17.9553461625027
3,1,17.9553461625027
3,2,15.5085007879668
3,3,15.197271931025
3,4,14.2262670455457
3,5,12.8013149706249
3,6,12.0251242591369
3,7,11.8235149575726
3,8,11.8235149575726
4,0,17.1943326278247
4,1,14.5646401494505
4,2,11.8922789994884
4,3,10.9079931868113
4,4,10.9079901356709
4,5,10.9079901356709
4,6,10.9079898908983
4,7,10.9079898908983
4,8,10.9079897548968
5,0,13.0754298971136
5,1,11.6475677438966
5,2,10.7668550937577
5,3,10.1049394031806
5,4,9.64064672966188
5,5,9.20448652158815
5,6,8.52643689998565
5,7,8.04314401323195
5,8,7.7889541086249
