Scenario,ControlStrategy,MeanAbsVoltageDeviation,MaxAbsVoltageDeviation,MinVoltage,MaxVoltage,VoltageViolationCount,MeanActiveLoss_kW,PVCurtailment_kWh,VoltageDeviationReductionPercent,ViolationReductionPercent,LossReductionPercent
proposal_80pct_partial_cloud,none,0.0304424854544894,0.0905749016228277,0.909425098377172,1.00855641365599,179,88.3095622553101,0,0,0,0
proposal_80pct_partial_cloud,voltvar,0.0215321623156044,0.0488037992526444,0.951196200747356,1.00855641365599,0,64.1122761629431,0,29.2693681408033,100,27.4005277281419
proposal_80pct_partial_cloud,voltwatt,0.0304424854544894,0.0905749016228277,0.909425098377172,1.00855641365599,179,88.3095622553101,0,0,0,0
proposal_80pct_partial_cloud,hybrid,0.0215321623156044,0.0488037992526444,0.951196200747356,1.00855641365599,0,64.1122761629431,0,29.2693681408033,100,27.4005277281419
proposal_80pct_partial_cloud,hybrid_pso,0.013671750980321,0.0349402364144481,0.965059763585552,1.00901011587122,0,66.4518526471059,0,55.0898989481005,100,24.7512376349594
stress_100pct_clear_low_daytime,none,0.0224103867607433,0.0679908555121642,0.934527377216789,1.06799085551216,70,69.8269490221256,0,0,0,0
stress_100pct_clear_low_daytime,voltvar,0.0170769484929576,0.0475240533323764,0.954117965330866,1.04752405333238,0,67.0383724261571,0,23.7989568173289,100,3.99355354203563
stress_100pct_clear_low_daytime,voltwatt,0.0218715615934849,0.0654726227832111,0.934527377216789,1.05520214360827,65,64.0917476337714,1158.9407355374,2.40435461025719,7.14285714285714,8.21344977644222
stress_100pct_clear_low_daytime,hybrid,0.0170069993170953,0.0458820346691338,0.954117965330866,1.04402128466431,0,66.1920321226421,152.223176655521,24.1110851915917,100,5.20560750596697
stress_100pct_clear_low_daytime,hybrid_pso,0.0122317814077285,0.0497952810455875,0.965331660653599,1.04979528104559,0,69.6520202893594,401.141274898915,45.4191418545478,100,0.250517508234215
