Scenario,ControlStrategy,ViolationEpisodes,QuasiStaticVoltageRecoverySteps,QuasiStaticVoltageRecoveryHours,Unrecovered
normal_20pct_clear_sky,none,1,NaN,NaN,1
normal_20pct_clear_sky,voltvar,2,NaN,NaN,1
normal_20pct_clear_sky,voltwatt,1,NaN,NaN,1
normal_20pct_clear_sky,hybrid,2,NaN,NaN,1
normal_20pct_clear_sky,hybrid_pso,1,7,7,0
normal_20pct_partial_cloud,none,1,NaN,NaN,1
normal_20pct_partial_cloud,voltvar,2,NaN,NaN,1
normal_20pct_partial_cloud,voltwatt,1,NaN,NaN,1
normal_20pct_partial_cloud,hybrid,2,NaN,NaN,1
normal_20pct_partial_cloud,hybrid_pso,1,7,7,0
normal_20pct_low_irradiance,none,1,NaN,NaN,1
normal_20pct_low_irradiance,voltvar,1,NaN,NaN,1
normal_20pct_low_irradiance,voltwatt,1,NaN,NaN,1
normal_20pct_low_irradiance,hybrid,1,NaN,NaN,1
normal_20pct_low_irradiance,hybrid_pso,2,8,8,0
normal_50pct_clear_sky,none,2,NaN,NaN,1
normal_50pct_clear_sky,voltvar,1,4,4,0
normal_50pct_clear_sky,voltwatt,2,NaN,NaN,1
normal_50pct_clear_sky,hybrid,1,4,4,0
normal_50pct_clear_sky,hybrid_pso,0,0,0,0
normal_50pct_partial_cloud,none,2,NaN,NaN,1
normal_50pct_partial_cloud,voltvar,1,4,4,0
normal_50pct_partial_cloud,voltwatt,2,NaN,NaN,1
normal_50pct_partial_cloud,hybrid,1,4,4,0
normal_50pct_partial_cloud,hybrid_pso,0,0,0,0
normal_50pct_low_irradiance,none,2,NaN,NaN,1
normal_50pct_low_irradiance,voltvar,1,5,5,0
normal_50pct_low_irradiance,voltwatt,2,NaN,NaN,1
normal_50pct_low_irradiance,hybrid,1,5,5,0
normal_50pct_low_irradiance,hybrid_pso,0,0,0,0
normal_80pct_clear_sky,none,2,NaN,NaN,1
normal_80pct_clear_sky,voltvar,0,0,0,0
normal_80pct_clear_sky,voltwatt,2,NaN,NaN,1
normal_80pct_clear_sky,hybrid,0,0,0,0
normal_80pct_clear_sky,hybrid_pso,0,0,0,0
normal_80pct_partial_cloud,none,2,NaN,NaN,1
normal_80pct_partial_cloud,voltvar,0,0,0,0
normal_80pct_partial_cloud,voltwatt,2,NaN,NaN,1
normal_80pct_partial_cloud,hybrid,0,0,0,0
normal_80pct_partial_cloud,hybrid_pso,0,0,0,0
normal_80pct_low_irradiance,none,2,NaN,NaN,1
normal_80pct_low_irradiance,voltvar,0,0,0,0
normal_80pct_low_irradiance,voltwatt,2,NaN,NaN,1
normal_80pct_low_irradiance,hybrid,0,0,0,0
normal_80pct_low_irradiance,hybrid_pso,0,0,0,0
stress_80pct,none,0,0,0,0
stress_80pct,voltvar,0,0,0,0
stress_80pct,voltwatt,0,0,0,0
stress_80pct,hybrid,0,0,0,0
stress_80pct,hybrid_pso,0,0,0,0
stress_100pct,none,1,5,5,0
stress_100pct,voltvar,0,0,0,0
stress_100pct,voltwatt,0,0,0,0
stress_100pct,hybrid,0,0,0,0
stress_100pct,hybrid_pso,0,0,0,0
stress_120pct,none,1,5,5,0
stress_120pct,voltvar,1,5,5,0
stress_120pct,voltwatt,0,0,0,0
stress_120pct,hybrid,0,0,0,0
stress_120pct,hybrid_pso,0,0,0,0
stress_150pct,none,1,7,7,0
stress_150pct,voltvar,1,5,5,0
stress_150pct,voltwatt,1,5,5,0
stress_150pct,hybrid,0,0,0,0
stress_150pct,hybrid_pso,0,0,0,0
stress_180pct,none,1,7,7,0
stress_180pct,voltvar,1,5,5,0
stress_180pct,voltwatt,1,7,7,0
stress_180pct,hybrid,0,0,0,0
stress_180pct,hybrid_pso,0,0,0,0
stress_200pct,none,1,9,9,0
stress_200pct,voltvar,1,5,5,0
stress_200pct,voltwatt,1,7,7,0
stress_200pct,hybrid,0,0,0,0
stress_200pct,hybrid_pso,0,0,0,0
