ScenarioGroup,PVPenetrationPercent,IrradianceCondition,ControlStrategy,TimeIndex,Time_h,Bus,LocalVoltage_pu,Pavailable_kW,Poutput_kW,Pcurtailed_kW,Qoutput_kVAr,Qlimit_kVAr,VoltVARActive,VoltWattActive,BothActive
normal,80,clear_sky,hybrid_pso,12,11,18,1.01091917076575,472.68481970955,458.256477891127,14.4283418184231,0,294.755296670413,0,1,0
normal,80,clear_sky,hybrid_pso,13,12,18,1.0124532305328,495.333333333333,455.115998729186,40.2173346041476,-0.250377254752976,299.581561757696,0,1,0
normal,80,clear_sky,hybrid_pso,14,13,18,1.01087112307109,472.68481970955,459.013930400901,13.6708893086496,0,293.574345170625,0,1,0
stress,80,stress_clear_sky,voltwatt,11,10,31,1.03465833413312,495.333333333333,453.61136874699,41.721964586343,0,301.854949583283,0,1,0
stress,80,stress_clear_sky,voltwatt,11,10,32,1.03611653958619,544.866666666667,484.993681858899,59.8729848077673,0,352.144212979181,0,1,0
stress,80,stress_clear_sky,voltwatt,11,10,33,1.03705219324841,594.4,519.297366249303,75.1026337506973,0,397.287038558443,0,1,0
stress,80,stress_clear_sky,voltwatt,12,11,31,1.03492529750889,495.333333333333,451.251395914247,44.0819374190867,0,305.371678663704,0,1,0
stress,80,stress_clear_sky,voltwatt,12,11,32,1.03637910441412,544.866666666667,482.436092253616,62.4305744130502,0,355.640035807047,0,1,0
stress,80,stress_clear_sky,voltwatt,12,11,33,1.03731070744783,594.4,516.547251966235,77.8527480337649,0,400.856186288962,0,1,0
stress,80,stress_clear_sky,voltwatt,13,12,31,1.03509758548948,495.333333333333,449.732889386048,45.6004439472855,0,307.603661631199,0,1,0
stress,80,stress_clear_sky,voltwatt,13,12,32,1.03654857403889,544.866666666667,480.790052696494,64.076613970173,0,357.862184934202,0,1,0
stress,80,stress_clear_sky,voltwatt,13,12,33,1.03747757417137,594.4,514.777098006128,79.6229019938717,0,403.126884452512,0,1,0
stress,80,stress_clear_sky,voltwatt,14,13,31,1.03509758548948,495.333333333333,449.732889386048,45.6004439472855,0,307.603661631199,0,1,0
stress,80,stress_clear_sky,voltwatt,14,13,32,1.03654857403889,544.866666666667,480.790052696494,64.076613970173,0,357.862184934202,0,1,0
stress,80,stress_clear_sky,voltwatt,14,13,33,1.03747757417137,594.4,514.777098006128,79.6229019938717,0,403.126884452512,0,1,0
stress,80,stress_clear_sky,voltwatt,15,14,31,1.03492529750889,495.333333333333,451.251395914247,44.0819374190867,0,305.371678663704,0,1,0
stress,80,stress_clear_sky,voltwatt,15,14,32,1.03637910441412,544.866666666667,482.436092253616,62.4305744130502,0,355.640035807047,0,1,0
